affiliations_original,affiliation_1,affiliation_2,confidence,manual,affiliation_1_manual,affiliation_2_manual
Harvard Law School and International Initiative on Maternal Mortality and Human Rights,Harvard Law School,International Initiative on Maternal Mortality and Human Rights,97,,,
Qurtuba University of Science and Information Technology and Qurtuba University of Science and Information Technology,Qurtuba University of Science and Information Technology,Qurtuba University of Science and Information Technology,97,,,
"Australian National University (ANU) - ANU Centre for Social Research and Methods and School of Politics and International Relations, Australian National University",Australian National University (ANU) - ANU Centre for Social Research and Methods,"School of Politics and International Relations, Australian National University",97,,,
"National Law School of India University and Centre for Innovation, Intellectual Property and Competition",National Law School of India University,"Centre for Innovation, Intellectual Property and Competition",97,,,
"Office of Suspension and Debarment, The World Bank, George Washington University - Law School and George Washington University - Law School","Office of Suspension and Debarment, The World Bank, George Washington University - Law School",George Washington University - Law School,97,,,
Nanjing University of Information Science and Technology and Nanjing University,Nanjing University of Information Science and Technology,Nanjing University,97,,,
Michigan State University - College of Law and University of Piraeus - Faculty of International and European Studies,Michigan State University - College of Law,University of Piraeus - Faculty of International and European Studies,97,,,
"National Institute of Technology and Department of Studies and Research in Commerce, Tumkur University",National Institute of Technology,"Department of Studies and Research in Commerce, Tumkur University",97,,,
Beihang University (BUAA) - School of Economic and Management Science and Beihang University (BUAA) - School of Economic and Management Science,Beihang University (BUAA) - School of Economic and Management Science,Beihang University (BUAA) - School of Economic and Management Science,97,,,
University of North Carolina (UNC) at Chapel Hill - School of Media and Journalism and University of North Carolina (UNC) at Chapel Hill,University of North Carolina (UNC) at Chapel Hill - School of Media and Journalism,University of North Carolina (UNC) at Chapel Hill,97,,,
"Victoria University of Wellington - Te Herenga Waka - School of Economics & Finance and School of Economics and Finance, Victoria University of Wellington and Statistics Research Associates, Wellington",Victoria University of Wellington - Te Herenga Waka - School of Economics & Finance,"School of Economics and Finance, Victoria University of Wellington and Statistics Research Associates, Wellington",97,,,
"Moneta Finance Ltd. and Sagar Institute of Research and Technology, Ayodhya Bypass,Bhopal",Moneta Finance Ltd.,"Sagar Institute of Research and Technology, Ayodhya Bypass,Bhopal",97,,,
Brunel University London - Department of Economics and Finance and Sumy State University,Brunel University London - Department of Economics and Finance,Sumy State University,97,,,
College of Banking and Financial Studies and Sumy State University,College of Banking and Financial Studies,Sumy State University,97,,,
Brunel University London - Department of Economics and Finance and University of Navarra - Department of Economics,Brunel University London - Department of Economics and Finance,University of Navarra - Department of Economics,97,,,
"University of Szeged, Institute of Comparative Law and Legal Theory  Vytautas Magnus University - Faculty of Law and University of Szeged Faculty of Law and Political Sciences - Institute of Comparative Law and Legal Theory","University of Szeged, Institute of Comparative Law and Legal Theory  Vytautas Magnus University - Faculty of Law",University of Szeged Faculty of Law and Political Sciences - Institute of Comparative Law and Legal Theory,97,,,
Open University of Israel - Department of Management and Economics and EM Lyon (Ecole de Management de Lyon),Open University of Israel - Department of Management and Economics,EM Lyon (Ecole de Management de Lyon),97,,,
"Cairo University and Faculty of Management Sciences, October University for Modern Sciences and Arts (MSA)",Cairo University,"Faculty of Management Sciences, October University for Modern Sciences and Arts (MSA)",97,,,
"University of Malta and Malta College of Arts, Science and Technology",University of Malta,"Malta College of Arts, Science and Technology",97,,,
Marche Polytechnic University - Department of Economic and Social Science and Marche Polytechnic University,Marche Polytechnic University - Department of Economic and Social Science,Marche Polytechnic University,97,,,
"London School of Economics & Political Science (LSE) - European Institute and University of Reading - School of Sociology, Politics and International Relations",London School of Economics & Political Science (LSE) - European Institute,"University of Reading - School of Sociology, Politics and International Relations",97,,,
Universidad de Alicante - Department of Applied Economics and Political Economics and University of Murcia,Universidad de Alicante - Department of Applied Economics and Political Economics,University of Murcia,97,,,
"Graduate School of Humanities and Sciences, Okayama University and Hokkaido University","Graduate School of Humanities and Sciences, Okayama University",Hokkaido University,97,,,
"U.C. Berkeley - Department of Agricultural and Resource Economics and University of California, Berkeley - Department of Agricultural & Resource Economics",U.C. Berkeley - Department of Agricultural and Resource Economics,"University of California, Berkeley - Department of Agricultural & Resource Economics",97,,,
"Otto-von-Guericke University Magdeburg and Free University of Berlin (FUB) - Department of Finance, Accounting and Taxation",Otto-von-Guericke University Magdeburg,"Free University of Berlin (FUB) - Department of Finance, Accounting and Taxation",97,,,
Ludwig Maximilian University of Munich (LMU) - ifo Institute (Leibniz Institute for Economic Research at the University of Munich) and American University - Department of Finance and Real Estate,Ludwig Maximilian University of Munich (LMU) - ifo Institute (Leibniz Institute for Economic Research at the University of Munich),American University - Department of Finance and Real Estate,97,,,
"Graduate School of Business and  Advanced Technology Management, Assumption University of Thailand and Graduate School of Business and  Advanced Technology Management, Assumption University of Thailand","Graduate School of Business and  Advanced Technology Management, Assumption University of Thailand","Graduate School of Business and  Advanced Technology Management, Assumption University of Thailand",97,,,
"Tumkur University - Tumkur University, Department of Studies and Research in Commerce, Students and Tumkur University - Department of Studies and Research in Commerce","Tumkur University - Tumkur University, Department of Studies and Research in Commerce, Students",Tumkur University - Department of Studies and Research in Commerce,97,,,
Islamia College - Islamia College of Science and Commerce and Aligarh Muslim University (AMU),Islamia College - Islamia College of Science and Commerce,Aligarh Muslim University (AMU),97,,,
"Data Science and Policy Studies (DSPS), Faculty of Social Science, The Chinese University of Hong Kong and National University of Singapore (NUS) - Lee Kuan Yew School of Public Policy","Data Science and Policy Studies (DSPS), Faculty of Social Science, The Chinese University of Hong Kong",National University of Singapore (NUS) - Lee Kuan Yew School of Public Policy,97,,,
University of Thessaly - Planning and Regional Development and University of Thessaly,University of Thessaly - Planning and Regional Development,University of Thessaly,97,,,
"University of Szeged, Institute of Comparative Law and Legal Theory  Vytautas Magnus University - Faculty of Law and University of Szeged Faculty of Law and Political Sciences - Institute of Comparative Law and Legal Theory","University of Szeged, Institute of Comparative Law and Legal Theory  Vytautas Magnus University - Faculty of Law",University of Szeged Faculty of Law and Political Sciences - Institute of Comparative Law and Legal Theory,97,,,
Agriculture and Forestry University and Purbanchal University - Nepal Polytechnic Institute,Agriculture and Forestry University,Purbanchal University - Nepal Polytechnic Institute,97,,,
"University of Malaya (UM) - Faculty of Computer Science and Information Technology and Faculty of Law, University of Malaya",University of Malaya (UM) - Faculty of Computer Science and Information Technology,"Faculty of Law, University of Malaya",97,,,
Global Academy of Training and Research (GATR) and King Faisal University (KFU),Global Academy of Training and Research (GATR),King Faisal University (KFU),97,,,
Oman College of Management & Technology - Department of Administrative and Financial Services and The American College,Oman College of Management & Technology - Department of Administrative and Financial Services,The American College,97,,,
"Government First Grade College, K R Puram and Institute for Social and Economic Change (ISEC)","Government First Grade College, K R Puram",Institute for Social and Economic Change (ISEC),97,,,
Global Academy of Training and Research (GATR) and Telkom University,Global Academy of Training and Research (GATR),Telkom University,97,,,
"Pontifical Catholic University of Sao Paolo (PUCSP) and Pontifical Catholic University of Sao Paolo (PUCSP) - Faculty of Economics, Administration, Accounting and Actuaries",Pontifical Catholic University of Sao Paolo (PUCSP),"Pontifical Catholic University of Sao Paolo (PUCSP) - Faculty of Economics, Administration, Accounting and Actuaries",97,,,
SAARC Chamber of Commerce and Industry and SAARC Chamber of Commerce and Industry,SAARC Chamber of Commerce and Industry,SAARC Chamber of Commerce and Industry,97,,,
Piri Reis University - Department of Economics and Finance and MEF University Department of Economics,Piri Reis University - Department of Economics and Finance,MEF University Department of Economics,97,,,
SAARC Chamber of Commerce and Industry and SAARC Chamber of Commerce and Industry,SAARC Chamber of Commerce and Industry,SAARC Chamber of Commerce and Industry,97,,,
University of Oxford - Centre for Health Service Economics and Organisation and Universitat Pompeu Fabra (UPF),University of Oxford - Centre for Health Service Economics and Organisation,Universitat Pompeu Fabra (UPF),97,,,
"Proesa-Icesi University, Faculty of Administrative and Economic Sciences, Department of Economy and Universidad Nacional Abierta y a Distancia UNAD","Proesa-Icesi University, Faculty of Administrative and Economic Sciences, Department of Economy",Universidad Nacional Abierta y a Distancia UNAD,97,,,
Sanford Center for Financial Planning and Wellness and Western Michigan University,Sanford Center for Financial Planning and Wellness,Western Michigan University,97,,,
"Associate Professor, Department of ECE, DRK Institute of Technology, Hyderabad-Telangana, India and Professor, Department of ECE and Dean (Student Affairs), K L University, Andhra Pradesh, India","Associate Professor, Department of ECE, DRK Institute of Technology, Hyderabad-Telangana, India","Professor, Department of ECE and Dean (Student Affairs), K L University, Andhra Pradesh, India",97,,,
The Siberian Branch of the Russian Academy of Sciences - Institute of Economics and Industrial Engineering and Martin Luther University of Halle-Wittenberg,The Siberian Branch of the Russian Academy of Sciences - Institute of Economics and Industrial Engineering,Martin Luther University of Halle-Wittenberg,97,,,
"Faculty of Business Administration, Kasetsart University, Thailand and Graduate School of Management and Innovation","Faculty of Business Administration, Kasetsart University, Thailand",Graduate School of Management and Innovation,97,,,
Georgia Institute of Technology - H. Milton Stewart School of Industrial and Systems Engineering and City University of Hong Kong (CityU) - Department of Management Sciences,Georgia Institute of Technology - H. Milton Stewart School of Industrial and Systems Engineering,City University of Hong Kong (CityU) - Department of Management Sciences,97,,,
IGCP (Portuguese Treasury and Debt Management Agency) and Universidade de Coimbra - Faculty of Economics,IGCP (Portuguese Treasury and Debt Management Agency),Universidade de Coimbra - Faculty of Economics,97,,,
University of North Carolina (UNC) at Chapel Hill - Department of City and Regional Planning and University of North Carolina at Chapel Hill,University of North Carolina (UNC) at Chapel Hill - Department of City and Regional Planning,University of North Carolina at Chapel Hill,97,,,
University of North Carolina (UNC) at Chapel Hill - Department of City and Regional Planning and University of North Carolina at Chapel Hill,University of North Carolina (UNC) at Chapel Hill - Department of City and Regional Planning,University of North Carolina at Chapel Hill,97,,,
affiliation not provided to SSRN and Redeemer's University - Public and International Law Department,affiliation not provided to SSRN and Redeemer's University - Public,International Law Department,97,,,
"Andhra University - Department of Commerce and Management and Wollo University, Department of Accounting and Finance",Andhra University - Department of Commerce and Management,"Wollo University, Department of Accounting and Finance",97,,,
Australian Competition and Consumer Commission and Government of the Italian Republic (Italy) - National School of Administration,Australian Competition and Consumer Commission,Government of the Italian Republic (Italy) - National School of Administration,97,,,
"Northwestern University - Center on Law, Business, and Economics and Université de Montréal","Northwestern University - Center on Law, Business, and Economics",Université de Montréal,97,,,
University of Cologne and University of Cologne - Department of Econometrics and Statistics,University of Cologne,University of Cologne - Department of Econometrics and Statistics,97,,,
Simon Fraser University - Department of Statistics and Actuarial Science and University of Connecticut - Department of Mathematics,Simon Fraser University - Department of Statistics and Actuarial Science,University of Connecticut - Department of Mathematics,97,,,
University of Georgia - Department of Political Science and University of Georgia - School of Public and International Affairs,University of Georgia - Department of Political Science,University of Georgia - School of Public and International Affairs,97,,,
Simon Fraser University - Department of Statistics and Actuarial Science and University of Connecticut - Department of Mathematics,Simon Fraser University - Department of Statistics and Actuarial Science,University of Connecticut - Department of Mathematics,97,,,
"Sona College of Technology, Department of Computer Science and Engineering, Students and Sona College of Technology","Sona College of Technology, Department of Computer Science and Engineering, Students",Sona College of Technology,97,,,
University of California Santa Barbara and University of New South Wales (UNSW) - School of Mathematics and Statistics,University of California Santa Barbara,University of New South Wales (UNSW) - School of Mathematics and Statistics,97,,,
"University of Kent - School of Mathematics, Statistics and Actuarial Science and University College London","University of Kent - School of Mathematics, Statistics and Actuarial Science",University College London,97,,,
Korea Advanced Institute of Science and Technology (KAIST) and Korea Advanced Institute of Science and Technology (KAIST),Korea Advanced Institute of Science and Technology (KAIST),Korea Advanced Institute of Science and Technology (KAIST),97,,,
"Norwegian Institute of Food, Fisheries and Aquaculture Research and University of Stavanger","Norwegian Institute of Food, Fisheries and Aquaculture Research",University of Stavanger,97,,,
Spanish Council for Scientific Research (CSIC) - Institute of Public Goods and Policies (IPP) and University of Alcala,Spanish Council for Scientific Research (CSIC) - Institute of Public Goods and Policies (IPP),University of Alcala,97,,,
Korea Advanced Institute of Science and Technology (KAIST) and Korea Advanced Institute of Science and Technology (KAIST),Korea Advanced Institute of Science and Technology (KAIST),Korea Advanced Institute of Science and Technology (KAIST),97,,,
National University of Singapore (NUS) - Department of Economics and Hunan University - School of Economics and Trade,National University of Singapore (NUS) - Department of Economics,Hunan University - School of Economics and Trade,97,,,
"Harvard University, Harvard College, Students, Harvard University, Faculty of Arts and Sciences, Students and Harvard University","Harvard University, Harvard College, Students, Harvard University, Faculty of Arts and Sciences, Students",Harvard University,97,,,
"The University of Hong Kong - School of Economics and Finance and Columbia University - Columbia Business School, Finance",The University of Hong Kong - School of Economics and Finance,"Columbia University - Columbia Business School, Finance",97,,,
Department of Economics and The University of Manchester - Institute for Development Policy and Management,Department of Economics,The University of Manchester - Institute for Development Policy and Management,97,,,
University of Indonesia (UI) - Faculty of Economics and Business and University of Indonesia (UI) - Department of Management,University of Indonesia (UI) - Faculty of Economics and Business,University of Indonesia (UI) - Department of Management,97,,,
"University of International Business and Economics (UIBE) - University of International Business and Economics (UIBE), School of International Trade and Economics, Students and Tsinghua University - Institute of Economics","University of International Business and Economics (UIBE) - University of International Business and Economics (UIBE), School of International Trade and Economics, Students",Tsinghua University - Institute of Economics,97,,,
National Institute of Statistics and Economic Studies (INSEE) - Center for Research in Economics and Statistics (CREST) and CREST-ENSAE,National Institute of Statistics and Economic Studies (INSEE) - Center for Research in Economics and Statistics (CREST),CREST-ENSAE,97,,,
American University of Sharjah - School of Business and Management and American University of Sharjah,American University of Sharjah - School of Business and Management,American University of Sharjah,97,,,
"University of Southern Queensland - Faculty of Business and University of Southern Queensland - Faculty of Business, Education, Law and Arts",University of Southern Queensland - Faculty of Business,"University of Southern Queensland - Faculty of Business, Education, Law and Arts",97,,,
National College of Business Administration and Economics (NCBA&E) and National College of Business Administration and Economics (NCBA&E),National College of Business Administration and Economics (NCBA&E),National College of Business Administration and Economics (NCBA&E),97,,,
"Vienna University of Economics and Business and Vienna University of Economics and Business,  Institute for Statistics and Mathematics",Vienna University of Economics and Business,"Vienna University of Economics and Business,  Institute for Statistics and Mathematics",97,,,
University of Milano-Bicocca and Sapienza University - Department of Social Science and Economics,University of Milano-Bicocca,Sapienza University - Department of Social Science and Economics,97,,,
Cornell University - Samuel Curtis Johnson Graduate School of Management and Cornell University - School of Operations Research and Information Engineering,Cornell University - Samuel Curtis Johnson Graduate School of Management,Cornell University - School of Operations Research and Information Engineering,97,,,
"University of Jyväskylä - School of Business and Economics and University of Lodz, Faculty of Economics and Sociology",University of Jyväskylä - School of Business and Economics,"University of Lodz, Faculty of Economics and Sociology",97,,,
Ramniranjan Jhunjhunwala (Autonomous) College and Avinashilingam Institute of Home Science and Higher Education for Women,Ramniranjan Jhunjhunwala (Autonomous) College,Avinashilingam Institute of Home Science and Higher Education for Women,97,,,
"Bangladesh Army International University of Science and Technology (BAIUST) - Department of Business Administration, Bangladesh Army International University of Science and Technology and University of Rajshahi - Department of Accounting and Information Systems","Bangladesh Army International University of Science and Technology (BAIUST) - Department of Business Administration, Bangladesh Army International University of Science and Technology",University of Rajshahi - Department of Accounting and Information Systems,97,,,
"Edinburgh Napier University, The Business School, Accounting and Finance Subject Group and Yasar University - Deparment of International Trade and Finance","Edinburgh Napier University, The Business School, Accounting and Finance Subject Group",Yasar University - Deparment of International Trade and Finance,97,,,
Leibniz Institute for Financial Research SAFE and University of Amsterdam - Center for Experimental Economics and political Decision making (CREED),Leibniz Institute for Financial Research SAFE,University of Amsterdam - Center for Experimental Economics and political Decision making (CREED),97,,,
Athens University of Economics and Business and Athens University of Economics and Business - Department of International and European Economic Studies,Athens University of Economics and Business,Athens University of Economics and Business - Department of International and European Economic Studies,97,,,
Diponegoro University - Economics and Business Faculty and Universitas Kristen Wira Wacana Sumba,Diponegoro University - Economics and Business Faculty,Universitas Kristen Wira Wacana Sumba,97,,,
hofstra university and Hofstra University - Departments of Mathematics and of Psychiatry,hofstra university,Hofstra University - Departments of Mathematics and of Psychiatry,97,,,
United International University - Department of Economics and University of Bahrain - Department of Economics and Finance,United International University - Department of Economics,University of Bahrain - Department of Economics and Finance,97,,,
University of Tampa and The University of Tampa - Department of Finance and Economics,University of Tampa,The University of Tampa - Department of Finance and Economics,97,,,
"University of Zurich - Department Finance and Bucharest University of Economic Studies, Department of Money and Banking",University of Zurich - Department Finance,"Bucharest University of Economic Studies, Department of Money and Banking",97,,,
Eötvös Loránd University and Budapest University of Technology and Economics - Department of Finance,Eötvös Loránd University,Budapest University of Technology and Economics - Department of Finance,97,,,
Eötvös Loránd University and Budapest University of Technology and Economics - Department of Finance,Eötvös Loránd University,Budapest University of Technology and Economics - Department of Finance,97,,,
"UNSW, Risk and Actuarial Studies and Loyola University Chicago","UNSW, Risk and Actuarial Studies",Loyola University Chicago,97,,,
Sheffield Hallam University - Faculty of Development and Society and University of Sheffield - School of Management,Sheffield Hallam University - Faculty of Development and Society,University of Sheffield - School of Management,97,,,
University of New Hampshire - Peter T. Paul College of Business and Economics and University of New Hampshire,University of New Hampshire - Peter T. Paul College of Business and Economics,University of New Hampshire,97,,,
Tallinn University of Technology - Department of Economics and Finance and Tallinn University of Technology (TUT),Tallinn University of Technology - Department of Economics and Finance,Tallinn University of Technology (TUT),97,,,
University of Vigo - Faculty of Economics and Business and Universitat de les Illes Balears,University of Vigo - Faculty of Economics and Business,Universitat de les Illes Balears,97,,,
"University of São Paulo (USP) - Faculty of Economics, Administration and Accounting of Ribeirão Preto (FEARP) and University of São Paulo (USP) - Faculty of Economics, Administration and Accounting of Ribeirão Preto (FEARP)","University of São Paulo (USP) - Faculty of Economics, Administration and Accounting of Ribeirão Preto (FEARP)","University of São Paulo (USP) - Faculty of Economics, Administration and Accounting of Ribeirão Preto (FEARP)",97,,,
Ruhr University of Bochum - Department of Finance and Banking and Ruhr University of Bochum - Department of Finance and Banking,Ruhr University of Bochum - Department of Finance and Banking,Ruhr University of Bochum - Department of Finance and Banking,97,,,
University of Extremadura and University of Extremadura - Faculty of Economic Science and Business Studies,University of Extremadura,University of Extremadura - Faculty of Economic Science and Business Studies,97,,,
Sophia University and Gunma University - Center for Mathematics and Data Science,Sophia University,Gunma University - Center for Mathematics and Data Science,97,,,
Center for Evaluation and Development (C4ED) and ETH Zürich,Center for Evaluation and Development (C4ED),ETH Zürich,97,,,
The Russian presidential academy of national economy and public administration   and Russian Academy of National Economy and Public Administration under the President of the Russian Federation (RANEPA) - North-West Institute of Management,The Russian presidential academy of national economy and public administration,Russian Academy of National Economy and Public Administration under the President of the Russian Federation (RANEPA) - North-West Institute of Management,97,,,
"Faculty of Commerce and Management, Prince of Songkla University, Thailand and Faculty of Commerce and Management, Prince of Songkla University, Thailand","Faculty of Commerce and Management, Prince of Songkla University, Thailand","Faculty of Commerce and Management, Prince of Songkla University, Thailand",97,,,
"St.Peter&rsquos Institute of Higher Education and Research, St.Peter&rsquos Institute of Higher Education and Research and St. Peter's Institute of Higher Education and Research","St.Peter&rsquos Institute of Higher Education and Research, St.Peter&rsquos Institute of Higher Education and Research",St. Peter's Institute of Higher Education and Research,97,,,
"Bogor Agricultural University (IPB University) and Department of Family and Consumer Sciences, Faculty of Human Ecology, IPB University, Bogor, Indonesia.",Bogor Agricultural University (IPB University),"Department of Family and Consumer Sciences, Faculty of Human Ecology, IPB University, Bogor, Indonesia.",97,,,
Universidad de la República and University of Trento - Department of Computer and Management Sciences (DISA),Universidad de la República,University of Trento - Department of Computer and Management Sciences (DISA),97,,,
October University for Modern Sciences and Arts (MSA) and Cairo University,October University for Modern Sciences and Arts (MSA),Cairo University,97,,,
"University of Hohenheim, Copenhagen Business School - Department of Management, Society and Communication and El-Erian Institute for Behavioural Economics and Policy","University of Hohenheim, Copenhagen Business School - Department of Management, Society and Communication",El-Erian Institute for Behavioural Economics and Policy,97,,,
University of Delaware - Alfred Lerner College of Business and Economics and Reed College,University of Delaware - Alfred Lerner College of Business and Economics,Reed College,97,,,
University of Bern - Institute for Organization and Human Resource and University of Bern - Institute for Organization and Human Resource,University of Bern - Institute for Organization and Human Resource,University of Bern - Institute for Organization and Human Resource,97,,,
"Delft University of Technology and Delft University of Technology - OTB Research Institute for Housing, Urban and Mobility Studies, University of St. Andrews",Delft University of Technology,"Delft University of Technology - OTB Research Institute for Housing, Urban and Mobility Studies, University of St. Andrews",97,,,
"University of Michigan at Ann Arbor, College of Engineering, Department of Industrial and Operations Engineering and University of Michigan at Ann Arbor - Department of Industrial and Operations Engineering","University of Michigan at Ann Arbor, College of Engineering, Department of Industrial and Operations Engineering",University of Michigan at Ann Arbor - Department of Industrial and Operations Engineering,97,,,
Ohio State University (OSU) - College of Education and Human Ecology and Ohio State University (OSU),Ohio State University (OSU) - College of Education and Human Ecology,Ohio State University (OSU),97,,,
"Federal Reserve Bank of Richmond and Dept. of Economics Hunter College and Graduate Center, CUNY",Federal Reserve Bank of Richmond,"Dept. of Economics Hunter College and Graduate Center, CUNY",97,,,
Tsinghua University: School of Economics and Management and Tsinghua University - School of Economics & Management,Tsinghua University: School of Economics and Management,Tsinghua University - School of Economics & Management,97,,,
University of Economics Ho Chi Minh City and University of Finance and Marketing (UFM) - Faculty of Tax and Customs,University of Economics Ho Chi Minh City,University of Finance and Marketing (UFM) - Faculty of Tax and Customs,97,,,
Radboud University and Leibniz  Universität Hannover - Institute for Risk and Insurance,Radboud University,Leibniz  Universität Hannover - Institute for Risk and Insurance,97,,,
"University of Sfax, Faculty of Economic and Management Sciences, Probability & Statistics Laboratory and University of Sfax - Higher Institute of Business Administration","University of Sfax, Faculty of Economic and Management Sciences, Probability & Statistics Laboratory",University of Sfax - Higher Institute of Business Administration,97,,,
Autonomous University of Barcelona - Department of Economics and Economic History and UAB and Barcelona GSE,Autonomous University of Barcelona - Department of Economics and Economic History,UAB and Barcelona GSE,97,,,
University of Economics Ho Chi Minh City and University of Finance and Marketing (UFM) - Faculty of Tax and Customs,University of Economics Ho Chi Minh City,University of Finance and Marketing (UFM) - Faculty of Tax and Customs,97,,,
CASE - Center for Economic and Social Research and International Monetary Fund (IMF),CASE - Center for Economic and Social Research,International Monetary Fund (IMF),97,,,
City University of New York (CUNY) - Allen G. Aaronson Department of Marketing & International Business and International Centre for Trade and Sustainable Development (ICTSD),City University of New York (CUNY) - Allen G. Aaronson Department of Marketing & International Business,International Centre for Trade and Sustainable Development (ICTSD),97,,,
"Northeastern University - College of Social Sciences and Humanities, Security and Resilience Program and Waseda University","Northeastern University - College of Social Sciences and Humanities, Security and Resilience Program",Waseda University,97,,,
University of Vigo - Faculty of Economics and Business and University of Vigo - Faculty of Economics and Business,University of Vigo - Faculty of Economics and Business,University of Vigo - Faculty of Economics and Business,97,,,
"University of Vigo - Faculty of Business Administration and Tourism, affiliation not provided to SSRN and University of Vigo","University of Vigo - Faculty of Business Administration and Tourism, affiliation not provided to SSRN",University of Vigo,97,,,
USC Center for Economic and Social Research and Erasmus University Rotterdam (EUR) - Erasmus School of Economics (ESE),USC Center for Economic and Social Research,Erasmus University Rotterdam (EUR) - Erasmus School of Economics (ESE),97,,,
"University of Southern Queensland - Faculty of Business and University of Southern Queensland - Faculty of Business, Education, Law and Arts",University of Southern Queensland - Faculty of Business,"University of Southern Queensland - Faculty of Business, Education, Law and Arts",97,,,
Organization for Economic Cooperation and Development (OECD) and University of Texas at Dallas,Organization for Economic Cooperation and Development (OECD),University of Texas at Dallas,97,,,
London School of Economics & Political Science (LSE) and London School of Economics and Political Science (LSE) - Department of Geography and Environment,London School of Economics & Political Science (LSE),London School of Economics and Political Science (LSE) - Department of Geography and Environment,97,,,
USC Center for Economic and Social Research and Erasmus University Rotterdam (EUR) - Erasmus School of Economics (ESE),USC Center for Economic and Social Research,Erasmus University Rotterdam (EUR) - Erasmus School of Economics (ESE),97,,,
National Institute of Population and Social Security Research and Waseda University - Faculty of Education and Integrated Arts and Sciences,National Institute of Population and Social Security Research,Waseda University - Faculty of Education and Integrated Arts and Sciences,97,,,
University of Shanghai for Science and Technology and University of Shanghai for Science and Technology,University of Shanghai for Science and Technology,University of Shanghai for Science and Technology,97,,,
University of Vigo - Faculty of Economics and Business and University of Vigo - Faculty of Economics and Business,University of Vigo - Faculty of Economics and Business,University of Vigo - Faculty of Economics and Business,97,,,
Curtin University - Department of Finance and Banking and City University of Macau,Curtin University - Department of Finance and Banking,City University of Macau,97,,,
University of Waikato - Department of Economics and Finance and University of South Australia - UniSA Business School,University of Waikato - Department of Economics and Finance,University of South Australia - UniSA Business School,97,,,
Padua University - Department of Economics and Management and Warsaw School of Economics (SGH),Padua University - Department of Economics and Management,Warsaw School of Economics (SGH),97,,,
European Bank for Reconstruction and Development and De Nederlandsche Bank,European Bank for Reconstruction and Development,De Nederlandsche Bank,97,,,
Università degli Studi di Sassari - Department of Economics and Business and Università Degli Studi di Sassari - Department of Economics (DiSea) and Centro di Ricerche Economiche Nord Sud (CRENoS),Università degli Studi di Sassari - Department of Economics and Business and Università Degli Studi di Sassari - Department of Economics (DiSea),Centro di Ricerche Economiche Nord Sud (CRENoS),97,,,
University of Wisconsin Whitewater and North Carolina Agricultural and Technical State University,University of Wisconsin Whitewater and North Carolina Agricultural,Technical State University,97,,,
Korea Advanced Institute of Science and Technology (KAIST) - School of Business and Technology Management and Korea Advanced Institute of Science and Technology (KAIST),Korea Advanced Institute of Science and Technology (KAIST) - School of Business and Technology Management,Korea Advanced Institute of Science and Technology (KAIST),97,,,
Texas A&M University - Department of Finance and University of Valladolid - Faculty of Economic Science and Business Studies,Texas A&M University - Department of Finance,University of Valladolid - Faculty of Economic Science and Business Studies,97,,,
"University of Rome Tor Vergata - Faculty of Economics and University of Rome Tor Vergata, Department of Economics and Finance",University of Rome Tor Vergata - Faculty of Economics,"University of Rome Tor Vergata, Department of Economics and Finance",97,,,
USC Center for Economic and Social Research and Erasmus University Rotterdam (EUR) - Erasmus School of Economics (ESE),USC Center for Economic and Social Research,Erasmus University Rotterdam (EUR) - Erasmus School of Economics (ESE),97,,,
USC Center for Economic and Social Research and Erasmus University Rotterdam (EUR) - Erasmus School of Economics (ESE),USC Center for Economic and Social Research,Erasmus University Rotterdam (EUR) - Erasmus School of Economics (ESE),97,,,
University of Arkansas - Sam M. Walton College of Business and Office of Entrepreneurship and Innovation,University of Arkansas - Sam M. Walton College of Business,Office of Entrepreneurship and Innovation,97,,,
"Institute of Geography and Spatial Organization and Institute of Geography and Regional Development UWr, Wrocław",Institute of Geography and Spatial Organization,"Institute of Geography and Regional Development UWr, Wrocław",97,,,
University of Dschang - Faculty of Economics and Management and Université de Dschang,University of Dschang - Faculty of Economics and Management,Université de Dschang,97,,,
Bharathiar University and Bharathiar University - Bharathiar School of Management  and Entrepreneur Development,Bharathiar University,Bharathiar University - Bharathiar School of Management  and Entrepreneur Development,97,,,
Bank for Investment and Development of Vietnam (BIDV) and Bank for Investment and Development of Vietnam (BIDV),Bank for Investment and Development of Vietnam (BIDV),Bank for Investment and Development of Vietnam (BIDV),97,,,
Sanford Center for Financial Planning and Wellness and Western Michigan University,Sanford Center for Financial Planning and Wellness,Western Michigan University,97,,,
"University of Gothenburg and University of Gothenburg - Centre for Finance - School of Business, Economics and Law",University of Gothenburg,"University of Gothenburg - Centre for Finance - School of Business, Economics and Law",97,,,
Bharathiar University and Bharathiar University - Bharathiar School of Management  and Entrepreneur Development,Bharathiar University,Bharathiar University - Bharathiar School of Management  and Entrepreneur Development,97,,,
"Imperial College London and Imperial College London - Accounting, Finance, and Macroeconomics",Imperial College London,"Imperial College London - Accounting, Finance, and Macroeconomics",97,,,
Piri Reis University - Department of Economics and Finance and MEF University Department of Economics,Piri Reis University - Department of Economics and Finance,MEF University Department of Economics,97,,,
"University of Cologne - Department of Banking and University of Cologne - Faculty of Management, Economics and Social Sciences",University of Cologne - Department of Banking,"University of Cologne - Faculty of Management, Economics and Social Sciences",97,,,
